date,year,shock_pct,pnl_no hedge,pnl_long 100x 405-put,pnl_long 100x 420-put,pnl_long 100x 429-put,pnl_long 100x 439-put,pnl_long 100x 453-put
2020-03-16,2020,-11.51,-4086.745511,-2126.813058,-1618.874033,-1191.89116,-759.388688,0.0
2020-03-12,2020,-9.6,-3410.255472,-1842.200005,-1413.900969,-1047.844657,-671.817617,0.0
2020-03-09,2020,-7.73,-2324.511415,-1547.845655,-1232.463473,-938.983433,-617.458043,0.0
2020-06-11,2020,-5.75,-1398.068982,-1003.821705,-831.240063,-656.939469,-449.577222,0.0
2020-03-18,2020,-5.06,-2403.982683,-1345.917978,-1036.663753,-770.009532,-494.429948,0.0
2020-03-20,2020,-4.98,-1924.754676,-1239.685476,-980.184254,-742.728533,-485.857284,0.0
2020-03-11,2020,-4.9,-1721.689008,-1148.183076,-915.691758,-698.827572,-460.412368,0.0
2020-04-01,2020,-4.49,-1654.34838,-1118.589465,-893.351182,-682.273879,-449.661828,0.0
2020-02-27,2020,-4.49,-1123.762701,-903.10134,-756.041941,-599.66665,-409.901363,0.0
2022-09-13,2022,-4.35,-864.162797,-738.270212,-640.107229,-524.907675,-371.943349,0.0
2018-02-05,2018,-4.18,-698.636415,-602.920435,-528.889632,-439.818124,-317.457622,0.0
2015-08-24,2015,-4.21,-793.800784,-678.591794,-587.208323,-480.634307,-340.028287,0.0
2022-05-18,2022,-4.03,-987.692675,-803.722139,-680.376705,-545.509784,-377.255629,0.0
2022-06-13,2022,-3.8,-1032.78272,-794.685651,-664.628485,-528.362363,-362.854484,0.0
2018-02-08,2018,-3.75,-707.050373,-535.599786,-454.902228,-368.919413,-260.424853,0.0
2022-04-29,2022,-3.7,-1021.974099,-741.968456,-613.768159,-484.25373,-330.60406,0.0
2016-06-24,2016,-3.59,-349.89484,-318.786076,-288.926907,-249.121044,-188.39303,0.0
2022-05-05,2022,-3.55,-914.208959,-696.19749,-581.899014,-462.838688,-318.384574,0.0
2020-10-28,2020,-3.42,-1073.14843,-787.091609,-647.761665,-507.902945,-343.98887,0.0
2020-09-03,2020,-3.44,-761.612659,-553.362786,-465.264789,-373.950882,-261.419449,0.0
2022-08-26,2022,-3.38,-652.520126,-556.095641,-483.516502,-398.285058,-284.179276,0.0
2020-03-05,2020,-3.32,-985.645286,-731.376833,-604.830815,-476.402891,-324.281934,0.0
2020-02-24,2020,-3.32,-518.740444,-437.355521,-381.056807,-315.415786,-227.016895,0.0
2018-10-10,2018,-3.17,-343.596458,-326.113802,-299.76684,-260.976642,-198.433114,0.0
2022-06-16,2022,-3.31,-891.622866,-681.497331,-571.712286,-456.355402,-315.12948,0.0
2018-12-04,2018,-3.24,-315.943204,-304.410887,-282.449881,-248.281112,-190.88542,0.0
2022-05-09,2022,-3.2,-979.336008,-758.811515,-631.735596,-499.51247,-340.76114,0.0
2018-10-24,2018,-3.03,-429.187266,-378.900251,-337.41788,-285.37391,-210.510309,0.0
2015-08-21,2015,-3.01,-419.057184,-355.335316,-311.847681,-260.407938,-189.678793,0.0
2020-04-21,2020,-3.04,-1092.385296,-798.426571,-653.298877,-509.242595,-342.565721,0.0
2020-02-25,2020,-3.03,-586.373623,-495.366785,-428.581275,-351.435423,-249.606883,0.0
2015-09-01,2015,-2.98,-471.801647,-409.863569,-360.388191,-300.498676,-217.722602,0.0
